name,description,brand,color,currency,price,availability,images,avg_rating,review_count,scraped_at,url
Foil Mandala Graphic Tee,"Focus your confidence as you move through the day. This adidas graphic t-shirt bumps up the style of any look with a foil-print mandala graphic. When it goes on, you'll look as good as you feel in the soft cotton jersey fabric.

By buying cotton products from us, you're supporting more sustainable cotton farming.",adidas,White,USD,20.0,InStock,"https://assets.adidas.com/images/w_600,f_auto,q_auto/3b765ddb5e1c40ebac46ad1f010ee14d_9366/Foil_Mandala_Graphic_Tee_White_H14684_21_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/25df2b0ec84f44d4bbf8ad1f010ee7ba_9366/Foil_Mandala_Graphic_Tee_White_H14684_23_hover_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/a22739dc588f469788b9ad1f010eef36_9366/Foil_Mandala_Graphic_Tee_White_H14684_25_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/1a90bcba51064feeb8d5ad1f010f13a5_9366/Foil_Mandala_Graphic_Tee_White_H14684_01_laydown.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/bb8f7acb74da4066824fad1f010ef9b5_9366/Foil_Mandala_Graphic_Tee_White_H14684_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/257dffddebb54ff992c3ad1f010f03f6_9366/Foil_Mandala_Graphic_Tee_White_H14684_42_detail.jpg",4.5,8.0,2021-10-23 17:52:09.776836,https://www.adidas.com/us/foil-mandala-graphic-tee/H14684.html
FARM Rio Print Relaxed Lightweight Windbreaker,"Cover up and stand out at the same time. This adidas windbreaker is a collaboration with FARM Rio and features a wildflower-inspired allover print that's just as vibrant as you are. Tighten up the hems for added protection if the wind really picks up.

This product is made with Primegreen, a series of high-performance recycled materials.",adidas,Blue,USD,52.0,InStock,"https://assets.adidas.com/images/w_600,f_auto,q_auto/1e07fc7528f0462eb307ad11010ba5f3_9366/FARM_Rio_Print_Relaxed_Lightweight_Windbreaker_Blue_GS6301_21_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/47e78f8f65b34ad89599ad11010badb2_9366/FARM_Rio_Print_Relaxed_Lightweight_Windbreaker_Blue_GS6301_23_hover_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/a94fc678f5ef44ff88f3ad11010bb5e0_9366/FARM_Rio_Print_Relaxed_Lightweight_Windbreaker_Blue_GS6301_25_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/3ce9b1ead26a4fcd93a3ad11010bd739_9366/FARM_Rio_Print_Relaxed_Lightweight_Windbreaker_Blue_GS6301_01_laydown.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/3b54d726f93c4a9ebafcad11010bc08e_9366/FARM_Rio_Print_Relaxed_Lightweight_Windbreaker_Blue_GS6301_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/83637ca2a5524c19bfc9ad11010bc9d6_9366/FARM_Rio_Print_Relaxed_Lightweight_Windbreaker_Blue_GS6301_42_detail.jpg",4.8,43.0,2021-10-23 17:51:11.489678,https://www.adidas.com/us/farm-rio-print-relaxed-lightweight-windbreaker/GS6301.html
Adilette Comfort Slides,"There's nothing complicated about these kids' adidas slides. Comfort and style go hand-in-hand in simple slip-on sandals that are perfect for a day at the pool, lounging at home or whatever other low-key plans your kid comes up with.",adidas,Black,USD,24.0,InStock,"https://assets.adidas.com/images/w_600,f_auto,q_auto/69f29ee2604648a58754acd4000fde76_9366/Adilette_Comfort_Slides_Black_FY8836_01_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/81e5736fbabf4b459bcaacd4000fb821_9366/Adilette_Comfort_Slides_Black_FY8836_02_standard_hover.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/fdd744fc51bf49239d8facd4000c13b0_9366/Adilette_Comfort_Slides_Black_FY8836_03_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/ce87ddb99a9a4a0f8c07acd40011dcab_9366/Adilette_Comfort_Slides_Black_FY8836_04_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/ed708b92d34a4515be35acd4000d3dba_9366/Adilette_Comfort_Slides_Black_FY8836_05_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/770ac5ea850b4a3686bdacd4000f57cb_9366/Adilette_Comfort_Slides_Black_FY8836_06_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/3a2b5c9683264e1b8ae6acd400111275_9366/Adilette_Comfort_Slides_Black_FY8836_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/91de978a9fc64e179f88acd40012877b_9366/Adilette_Comfort_Slides_Black_FY8836_42_detail.jpg",4.8,84.0,2021-10-23 17:50:52.998523,https://www.adidas.com/us/adilette-comfort-slides/FY8836.html
Santiago Lunch Bag,"Training takes work. Pack up this adidas lunch bag and keep your body refueled and recharged. Insulated to keep your lunch cool, it's got a roomy main pocket and a front pocket for easy access to snacks. A clip on the top lets you attach it to another bag so you never leave it behind. 

This product is made with recycled content as part of our ambition to end plastic waste.",adidas,Pink,USD,20.0,InStock,"https://assets.adidas.com/images/w_600,f_auto,q_auto/c16cb5e45d7e47d683bdac9f006164d0_9366/Santiago_Lunch_Bag_Pink_EX6529_01_standard.jpg~https://assets.adidas.com/videos/w_600,f_auto,q_auto/24952d08a7d6463eb505ad5600f4ea98_d98c/Santiago_Lunch_Bag_Pink_EX6529_video.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/faa6786f449846c8a2eeac9f005cbd90_9366/Santiago_Lunch_Bag_Pink_EX6529_02_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/c295deeefd3d4036929bac9f00562e7c_9366/Santiago_Lunch_Bag_Pink_EX6529_04_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/50dfa89b2edc437e8a08ac9f0055fa99_9366/Santiago_Lunch_Bag_Pink_EX6529_05_hover_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/036681cf6ecd4782ad1fac9f005f99d6_9366/Santiago_Lunch_Bag_Pink_EX6529_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/ef7171b277b74d3197a0ac9f005e904b_9366/Santiago_Lunch_Bag_Pink_EX6529_42_detail.jpg",5.0,51.0,2021-10-23 17:52:20.737836,https://www.adidas.com/us/santiago-lunch-bag/EX6529.html
Club Tennis 3-Stripes Tee,"Country club style with a contemporary twist. Showing off horizontal 3-Stripes on one sleeve, this adidas Club tennis tee is built for comfort. Mesh panels and soft, ventilated fabric keep you cool and dry through the most intense rallies. An underarm gusset provides the freedom you need to nail every shot.

This product is made with Primegreen, a series of high-performance recycled materials.",adidas,Blue,USD,32.0,InStock,"https://assets.adidas.com/images/w_600,f_auto,q_auto/ee1ea4cb33cc4087a307ad22012c0358_9366/Club_Tennis_3-Stripes_Tee_Blue_H34691_21_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/0cc917f7a72848cda84cad22012c0a69_9366/Club_Tennis_3-Stripes_Tee_Blue_H34691_23_hover_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/9056c81cdd0e4f8cb8f2ad22012c11d7_9366/Club_Tennis_3-Stripes_Tee_Blue_H34691_25_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/ecef8b85f4a649d2bc31ad1b005a5474_9366/Club_Tennis_3-Stripes_Tee_Blue_H34691_01_laydown.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/3522cb1b4e84413ba1f1ad22012c1a8b_9366/Club_Tennis_3-Stripes_Tee_Blue_H34691_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/922c346b5c394c3ba77aad22012c24e3_9366/Club_Tennis_3-Stripes_Tee_Blue_H34691_42_detail.jpg",4.8,39.0,2021-10-23 17:52:13.690788,https://www.adidas.com/us/club-tennis-3-stripes-tee/H34691.html
Cloudfoam Pure 2.0  Shoes,"Step into these shoes for crisp, clean style and comfort. Thanks to their heritage adidas vibes, these running-inspired trainers make it easy to look calm, cool and collected. Whether you're hanging out with friends or trying not to get frazzled as you tick off your weekend to-do list, stay comfortable through it all. 

This product is made with Primegreen, a series of high-performance recycled materials.",adidas,White,USD,56.0,InStock,"https://assets.adidas.com/images/w_600,f_auto,q_auto/09ba95f11fa24171987aad1000c49f37_9366/Cloudfoam_Pure_2.0_Shoes_White_GV7307_01_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/51f194449ed44092a98cad1000c4acf2_9366/Cloudfoam_Pure_2.0_Shoes_White_GV7307_02_standard_hover.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/9bef9c60340346bea60fad1000c4b41d_9366/Cloudfoam_Pure_2.0_Shoes_White_GV7307_03_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/8252352913f14259a525ad1000c4baa8_9366/Cloudfoam_Pure_2.0_Shoes_White_GV7307_04_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/3898831d7afb4906abf2ad1000c4c2de_9366/Cloudfoam_Pure_2.0_Shoes_White_GV7307_05_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/18c134d958674a2799f6ad1000c4a5f7_9366/Cloudfoam_Pure_2.0_Shoes_White_GV7307_06_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/02828a21494548cf8254ad1000c4c8fe_9366/Cloudfoam_Pure_2.0_Shoes_White_GV7307_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/553bbe7221f646dd8123ad1000c4cf1a_9366/Cloudfoam_Pure_2.0_Shoes_White_GV7307_42_detail.jpg",4.4,594.0,2021-10-23 17:50:39.370257,https://www.adidas.com/us/cloudfoam-pure-2.0--shoes/GV7307.html
Adilette Comfort Slides,Rejuvenate tired feet in these women's slides. The lightweight slides have a Cloudfoam Plus contoured footbed that delivers plush cushioning with every step. The classic design features a bandage upper with contrast 3-Stripes.,adidas,White,USD,28.0,InStock,"https://assets.adidas.com/images/w_600,f_auto,q_auto/75b01fddb7eb4969bb99ad1800c3641f_9366/Adilette_Comfort_Slides_White_GV9738_02_standard_hover.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/31680d9959cf4fd58b24ad1800c36b5b_9366/Adilette_Comfort_Slides_White_GV9738_03_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/2c6f0c233c06465ca535ad1800c3726f_9366/Adilette_Comfort_Slides_White_GV9738_04_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/7b54cad8129840eca1cfad1800c37a22_9366/Adilette_Comfort_Slides_White_GV9738_05_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/561db0da40a14e2d90f8ad1800c35d0f_9366/Adilette_Comfort_Slides_White_GV9738_06_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/990e7c43920c407484edad180104e86e_9366/Adilette_Comfort_Slides_White_GV9738_09_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/db3ae6cdc45a4fd2b454ad1800c3815e_9366/Adilette_Comfort_Slides_White_GV9738_41_detail.jpg",4.7,3812.0,2021-10-23 17:50:33.141596,https://www.adidas.com/us/adilette-comfort-slides/GV9738.html
Designed to Move High-Rise Sport Zebra 7/8 Tights,"Lunge, twist and stretch through your full range of motion. These adidas training tights have a stretchy build that lets you move freely. The AEROREADY tights absorb moisture to keep you dry during rush hour at the gym. Tuck workout reminders into the back pocket where they're easy to access. 

This product is made with Primegreen, a series of high-performance recycled materials.",adidas,Blue,USD,36.0,InStock,"https://assets.adidas.com/images/w_600,f_auto,q_auto/7710fa203e714b4db9a6ad110140c11a_9366/Designed_to_Move_High-Rise_Sport_Zebra_7-8_Tights_Blue_GT0135_21_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/d8c600567dff4cd4811ead110140c745_9366/Designed_to_Move_High-Rise_Sport_Zebra_7-8_Tights_Blue_GT0135_23_hover_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/40ac46112c424619b6b4ad110140ce49_9366/Designed_to_Move_High-Rise_Sport_Zebra_7-8_Tights_Blue_GT0135_25_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/ae713cbc48874b5d87c2ada5011be8d4_9366/Designed_to_Move_High-Rise_Sport_Zebra_7-8_Tights_Blue_GT0135_01_laydown.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/1fa17c32f5a84e3d8484ad110140d627_9366/Designed_to_Move_High-Rise_Sport_Zebra_7-8_Tights_Blue_GT0135_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/26513f2d736f4e99b2baad110140def9_9366/Designed_to_Move_High-Rise_Sport_Zebra_7-8_Tights_Blue_GT0135_42_detail.jpg",3.7,20.0,2021-10-23 17:50:50.581587,https://www.adidas.com/us/designed-to-move-high-rise-sport-zebra-7-8-tights/GT0135.html
Nike Dri-FIT,A SWEAT-WICKING BASE LAYER. The Nike Dri-FIT Base Layer Top is perfect for layering and features sweat-wicking technology to help keep little ones dry and comfortable.BenefitsDri-FIT technology helps little ones stay dry and comfortable.Product DetailsFabric: 92% polyester/8% elastaneMachine washImportedShown: Style: 86C416-478,Nike,,USD,28.0,OutOfStock,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/c5eesjqdulsupvg9cbxy/dri-fit-little-kids-base-layer-top-gkHvFf.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/uvdebncsaljknlmbqrza/dri-fit-little-kids-base-layer-top-gkHvFf.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/s87yefhqvsqljvktsezg/dri-fit-little-kids-base-layer-top-gkHvFf.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/orazvlds7flgnhrjcypz/dri-fit-little-kids-base-layer-top-gkHvFf.png",,,20/09/2022 23:49:54,https://www.nike.com/t/dri-fit-little-kids-base-layer-top-gkHvFf
Cushioned X Mid-Crew Socks 3 Pairs,"Give every workout a soft landing in these adidas crew-length training socks. Soft, stretchy yarn wicks sweat for elevated dryness. Extra cushioning in the footbed keeps you comfortable through jump rope drills and sprints.",adidas,Grey,USD,15.0,InStock,"https://assets.adidas.com/images/w_600,f_auto,q_auto/79d06ed5855c43e2b885aca100b4153f_9366/Cushioned_X_Mid-Crew_Socks_3_Pairs_Grey_EX7146_03_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/ffe129095a1949a69bffaca100ac36f4_9366/Cushioned_X_Mid-Crew_Socks_3_Pairs_Grey_EX7146_41_detail_hover.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/63434b0bedd2449b9ebaaca100ac7b43_9366/Cushioned_X_Mid-Crew_Socks_3_Pairs_Grey_EX7146_42_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/8d44496181dc48608584aca100ad5c86_9366/Cushioned_X_Mid-Crew_Socks_3_Pairs_Grey_EX7146_43_detail.jpg",5.0,5.0,2021-10-23 17:52:24.133553,https://www.adidas.com/us/cushioned-x-mid-crew-socks-3-pairs/EX7146.html
